,accuracy,precision,recall,f1
Gradient Boosting,0.3762541806020067,0.3435905350731879,0.3762541806020067,0.344910834922952
Logistic Regression,0.3511705685618729,0.3446340267849951,0.3511705685618729,0.3437643859948967
Random Forest,0.3762541806020067,0.33955047787750997,0.3762541806020067,0.34193564070907356
Stacking (LR+SVC+RF+NB → LR),0.4080267558528428,0.36079985245864293,0.4080267558528428,0.34192989415475833
Linear SVM,0.34782608695652173,0.3374538168787115,0.34782608695652173,0.33798302845913825
Multinomial NB,0.362876254180602,0.3956252516407936,0.362876254180602,0.3182091637266802
